x = 5.0e-01 | f'(x) = 0.868469601537622 | N = 0.2022132214191311 | error = 9.1e-03
x = 5.0e-01 | f'(x) = 0.877011330656657 | N = 0.0538771349318171 | error = 5.7e-04
x = 5.0e-01 | f'(x) = 0.877546853400412 | N = 0.0136531471497200 | error = 3.6e-05
x = 5.0e-01 | f'(x) = 0.877580330084214 | N = 0.0034243904424601 | error = 2.2e-06
x = 5.0e-01 | f'(x) = 0.877582422402384 | N = 0.0008567854764841 | error = 1.4e-07
x = 5.0e-01 | f'(x) = 0.877582553172374 | N = 0.0002142392650262 | error = 8.7e-09
x = 5.0e-01 | f'(x) = 0.877582561345207 | N = 0.0000535624957543 | error = 5.5e-10
x = 5.0e-01 | f'(x) = 0.877582561855888 | N = 0.0000133907913838 | error = 3.4e-11
x = 5.0e-01 | f'(x) = 0.877582561886811 | N = 0.0000033477083109 | error = 3.6e-12
x = 5.0e-01 | f'(x) = 0.877582561894087 | N = 0.0000008369277318 | error = 3.7e-12
x = 5.0e-01 | f'(x) = 0.877582561806776 | N = 0.0000002092319738 | error = 8.4e-11
x = 5.0e-01 | f'(x) = 0.877582561690360 | N = 0.0000000523079960 | error = 2.0e-10
x = 5.0e-01 | f'(x) = 0.877582561224699 | N = 0.0000000130769992 | error = 6.7e-10
x = 5.0e-01 | f'(x) = 0.877582564949989 | N = 0.0000000032692498 | error = 3.1e-09
x = 5.0e-01 | f'(x) = 0.877582550048828 | N = 0.0000000008173124 | error = 1.2e-08
x = 5.0e-01 | f'(x) = 0.877582550048828 | N = 0.0000000002043281 | error = 1.2e-08
x = 5.0e-01 | f'(x) = 0.877582550048828 | N = 0.0000000000510820 | error = 1.2e-08
x = 5.0e-01 | f'(x) = 0.877582550048828 | N = 0.0000000000127705 | error = 1.2e-08
x = 5.0e-01 | f'(x) = 0.877578735351562 | N = 0.0000000000031926 | error = 3.8e-06
x = 5.0e-01 | f'(x) = 0.877563476562500 | N = 0.0000000000007981 | error = 1.9e-05
x = 5.0e-01 | f'(x) = 0.877563476562500 | N = 0.0000000000001995 | error = 1.9e-05
x = 5.0e-01 | f'(x) = 0.877929687500000 | N = 0.0000000000000499 | error = 3.5e-04
x = 5.0e-01 | f'(x) = 0.878906250000000 | N = 0.0000000000000125 | error = 1.3e-03
x = 5.0e-01 | f'(x) = 0.875000000000000 | N = 0.0000000000000031 | error = 2.6e-03
x = 5.0e-01 | f'(x) = 0.875000000000000 | N = 0.0000000000000008 | error = 2.6e-03
x = 5.0e-01 | f'(x) = 0.875000000000000 | N = 0.0000000000000002 | error = 2.6e-03
x = 5.0e-01 | f'(x) = 0.500000000000000 | N = 0.0000000000000000 | error = 3.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
x = 5.0e-01 | f'(x) = 0.000000000000000 | N = 0.0000000000000000 | error = 8.8e-01
